objectid,year,district,dc_number,date_,primary_st,secondary_,age,sex,crash_type,hit_____ru,veh1,veh2,arrest_yes,investigat,dc_key,point_x,point_y,time_of_day__24hrs_,lat,lng
47929,2019,25,011475,2019-02-10 05:00:00+00,Allegheny Ave.,300 Block W.,30,M,"Deceased, pedestrian was laying in the running lane mid block when struck by unit #1.",No,Auto,Pedestrian,No,No Charges,201925011475,-75.13569740,39.99937655,,39.99937655210356,-75.13569739497983
47930,2019,07,003746,2019-02-11 05:00:00+00,Bustleton Ave.,9900 Block,66,F,Driver of Unit #1 N/B on Bustleton Ave crossed yellow lines into S/B traffic striking Unit #2. Operator of Unit #2 pronounced dead.,No,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary Manslaughter, PIC, REAP, False reports.",201907003746,-75.03074482,40.09463550,,40.09463549503681,-75.03074482097696
47931,2019,08,005494,2019-02-12 05:00:00+00,Frankford Ave.,9100 Block,83,M,Pedestrian was walking in street when struck by unti #1 who did not see him. Pedestrian pronounced dead at Hospital.,No,Auto,Pedestrian,,Pending,201908005494,-75.00682803,40.05330017,,40.05330017088454,-75.00682803025259
47932,2019,25,022738,2019-03-22 04:00:00+00,Lehigh Ave.,Hancock St.,61,M,Deceased Pedestrian attempting to cross Lehigh when he was struck by vehicle that did not stop.,No,Auto,Pedestrian,,Pending,201925022738,-75.13380625,39.99126893,,39.99126893079407,-75.1338062490446
47933,2019,17,011182,2019-03-23 04:00:00+00,Lombard St.,2100 Block,65,F,"Pedestrian was standing behind unit #1 that started to reverse to leave a parking spot, striking her. Pedestrian pronounced dead at Hospital.",No,Auto,Pedestrian,No,No Charges,201917011182,-75.17692712,39.94609959,,39.94609958825132,-75.17692711587783
47934,2019,16,013093,2019-03-29 04:00:00+00,Belmont Ave.,Ave of the Republic,94,M,Unit #2 attempted a left turn into the path of unit #1. The front seat passenger of unit #2 was pronounced dead.,No,Auto,Auto,,Pending,201916013093,-75.21416136,39.98031201,,39.98031200532062,-75.21416135656625
47935,2019,35,033296,2019-04-07 04:00:00+00,Rising Sun Ave.,Geneva St.,25,M,Operator of a motorcycle was N/B on Rising Sun when auto entered roadway from side street into the path of the motorcycle causing ejection and fatal injuries.,No,M/C,Auto,,Pending,201935033296,-75.14022489,40.06003523,,40.0600352327969,-75.14022488817245
47936,2019,12,026585,2019-04-07 04:00:00+00,Passyunk Ave.,6200 Block,54,M,"Operator of vehicle #1, (auto), crossed into oncoming traffic and struck a motorcycle head-on, motorcycle operator pronounced at scene.",No,Auto,M/C,Yes,"Arrest of driver of veh #1. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary manslaughter,",201912026585,-75.21549324,39.91701416,,39.91701415496276,-75.21549324285478
47937,2019,02,019197,2019-04-09 04:00:00+00,Castor Ave.,Magee Ave.,90,F,"Pedestrian was attempting to cross Castor Ave, in the crosswalk when struck by a Police Vehicle attempting a left turn. Pedestrian pronounced dead at Hospital.",No,Auto (Police),Pedestrian,No,No Charges,201902019197,-75.07528406,40.04180037,,40.041800373790565,-75.0752840615863
47938,2019,24,031588,2019-04-12 04:00:00+00,Allegheny Ave.,"1900 Block ""E""",32,M,Deceased was operating an Illegal Dirt bike at high speed when the operator of Unit #2 made an illegal u-turn into the path of the motorcycle causing ejection and fatal injuries.,No,Dirtbike,Auto,No,No Charges,201924031588,-75.11171046,39.99474070,,39.9947406960261,-75.11171045835245
47939,2019,07,010273,2019-04-20 04:00:00+00,Bustleton Ave.,Red Lion Rd.,50,M,Unit #1 high speed S/B on Bustleton struck unit #2 causing fatal injuries to operator and passenger of unit #2. Operator of unit #1 removed from scene prior to police arrival.,Yes,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges: Homicide by vehicle, Involuntary Manslaughter, Aggravated Assault by vehicle, REAP",201907010273,-75.02888633,40.10255235,,40.10255234884344,-75.02888632864943
47940,2019,07,010273,2019-04-20 04:00:00+00,Bustleton Ave.,Red Lion Rd.,48,F,Unit #1 high speed S/B on Bustleton struck unit #2 causing fatal injuries to operator and passenger of unit #2. Operator of unit #1 removed from scene prior to police arrival.,Yes,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges: Homicide by vehicle, Involuntary Manslaughter, Aggravated Assault by vehicle, REAP",201907010273,-75.02888633,40.10255235,,40.10255234884344,-75.02888632864943
47941,2019,06,029844,2019-06-22 04:00:00+00,Race St.,Unit block,21,M,Victim struck by train near platform of station. Pronounced dead at scene.,No,Train,Pedestrian,No,No Charges,201906029844,-75.14007074,39.95354203,,39.95354203416402,-75.1400707390256
47942,2019,35,055975,2019-06-22 04:00:00+00,Windrum Ave.,1600 Block,47,M,"Single vehicle crash, oper. Lost control, struck fence.",No,Van,Fixed Object,No,No Charges,201935055975,-75.15058988,40.02752209,,40.027522084717006,-75.15058988327453
47943,2019,15,039013,2019-04-24 04:00:00+00,Roosevelt Blvd.,Summerdale Ave,53,M,Pedestrian attempting to cross Roosevelt Blvd in mid block when struck by passing vehicle. Pedestrian pronounced at hospital.,No,Auto,Pedestrian,,Pending,201915039013,-75.09732114,40.02695874,,40.02695874157322,-75.0973211382643
47944,2019,25,032642,2019-04-26 04:00:00+00,Hunting Park Ave.,"200 Block ""E""",19,M,"Single vehicle crash. Vehicle E/B on Hunting Park Ave at high speed, lost control, left roadway and struck pole. Driver pronounced dead at scene.",No,Auto,Fixed Object,No,No Charges,201925032642,-75.12280421,40.01337223,,40.01337223206191,-75.12280421053848
47945,2019,07,010941,2019-04-27 04:00:00+00,Bustleton Ave.,9900 Block,23,M,"Single vehicle crash. Vehicle at high speed on Bustleton Ave, lost control, left roadway and struck pole. Driver pronounced at scene.",No,Auto,Fixed Object,No,No Charges,201907010941,-75.03074759,40.09815538,,40.0981553769584,-75.03074758503575
47946,2019,16,018831,2019-04-28 04:00:00+00,Aspen St,4900 Block,36,F,Victim was attempting to exit vehicle while operator accelerated the vehicle in reverse to escape gunfire striking parked vehicles. Operator then fled on foot. Passenger Pronounced dead at Hospital.,Yes,Auto,Auto,,,201916018831,-75.22014553,39.96484251,,39.96484251330274,-75.22014553206189
47947,2019,35,038929,2019-05-02 04:00:00+00,Nedro Ave.,10th St.,90,F,Victim struck by train near platform of station. Pronounced dead at scene.,No,Train,Pedestrian,No,No Charges,201935038929,-75.13736263,40.04206516,,40.042065159825384,-75.1373626335501
47948,2019,15,044176,2019-05-08 04:00:00+00,Tacony St,5400 Block,15,M,"Male operating an unregistered motorcycle at high speed, entered street striking Tractor Trailer and ejected. Pronounced dead at scene",No,Quad,Tractor-Trailer,No,No Charges,201915044176,-75.06420021,40.00962161,,40.009621607364515,-75.06420021153019
47949,2019,39,032613,2019-05-14 04:00:00+00,Clarissa St.,Hunting Park Ave.,42,M,"Male operating a Motorcycle high speed, struck parked vehicle while attempting a dangerous pass. Pronounced dead at hospital",No,M/C,Auto,No,No Charges,201939032613,-75.15665571,40.01462751,,40.01462750812229,-75.15665571079174
47950,2019,26,020595,2019-05-21 04:00:00+00,Letterly St.,Jasper St.,46,M,Pedestrian was laying in roadway when struck by turning vehicle. Pedestrian pronounced dead at hospital,No,Auto,Pedestrian,No,No Charges,201926020595,-75.13020424,39.98719953,,39.98719953068945,-75.13020423751476
47951,2019,35,046120,2019-05-25 04:00:00+00,Roosevelt Blvd.,3900 Block,19,M,"Victim was passenger in vehicle operating at high speed. (racing), lost control, struck tree. Pronounced dead at scene.",No,Auto,Fixed Object,No,No Charges,201935046120,-75.11285303,40.02752112,,40.02752111881139,-75.11285303044335
47952,2019,26,021636,2019-05-28 04:00:00+00,Master St.,700 Block,63,F,"Victim was standing on sidewalk when driver of vehicle attempted to flee police, drove on sidewalk and struck pedestrian. Victim pronounced dead at Hospital.",No,Auto,Pedestrian,Yes,"Arrest of driver of veh #1. Charges: Homicide by vehicle, Involuntary manslaughter, REAP",201926021636,-75.14785351,39.97304288,,39.97304287784093,-75.14785351073604
47953,2019,24,049715,2019-05-31 04:00:00+00,Frankford Ave.,3800 Block,58,F,Victim attempt to cross Frankford Ave in mid block when struck by passing vehicle. Vehicle possibly speeding. Pedestrian pronounced at hospital,No,Auto,Pedestrian,No,No Charges,201924049715,-75.09439374,40.00371822,,40.00371822156026,-75.09439374010219
47954,2019,02,030777,2019-06-01 04:00:00+00,Roosevelt Blvd.,Stevens St.,19,M,"Vehicle speeding, lost control and left roadway, struck wall, driver and passenger pronounced dead at scene.",No,Auto,Fixed Object,No,No Charges,201902030777,-75.07593860,40.03410605,,40.03410604711994,-75.07593860114989
47955,2019,02,030777,2019-06-01 04:00:00+00,Roosevelt Blvd.,Stevens St.,17,M,"Vehicle speeding, lost control and left roadway, struck wall, driver and passenger pronounced dead at scene.",No,Auto,Fixed Object,No,No Charges,201902030777,-75.07593860,40.03410605,,40.03410604711994,-75.07593860114989
47956,2019,24,056133,2019-06-18 04:00:00+00,Frankford Ave.,Allegheny Ave.,24,M,Auto made left into path of M/C. Speed of M/C in question.,No,M/C,Auto,,Pending,201924056133,-75.11007783,39.99308989,,39.99308988921919,-75.11007782647428
47957,2019,07,016187,2019-06-20 04:00:00+00,Bustleton Ave.,13500 Block,31,F,"Single vehicle lost control, left roadway, struck pole",No,Auto,Fixed Object,No,No Charges,201907016187,-75.01377516,40.12914585,,40.129145851956025,-75.01377515547033
47958,2019,01,028598,2019-06-20 04:00:00+00,Passyunk Ave.,1700 Block W.,75,M,Victim was crossing Ave. when struck by vehicle leaving parking spot,No,Auto,Pedestrian,No,Pending,201901028598,-75.17568862,39.92441253,,39.92441252969426,-75.17568862309362
47959,2019,25,047654,2019-06-11 04:00:00+00,Roosevelt Blvd.,"400 Block ""W""",22,M,"Single vehicle crash, speeding, lost control, struck a tree. Diver pronounced dead at scene.",No,Auto,Fixed Object,No,No Charges,201925047654,-75.13211095,40.02377129,,40.02377128798371,-75.13211094947867
47960,2019,02,035797,2019-06-26 04:00:00+00,Roosevelt Blvd.,7200 Block,74,F,"Victim walking in roadway, struck by passing vehicle that kept going.",Yes,unk,Pedestrian,,Pending,201902035797,-75.05464970,40.04465443,,40.04465443030594,-75.05464970020508
47961,2019,09,025984,2019-06-28 04:00:00+00,Sprin Garden St.,2500 Block,20,M,"Single veh. Crash. High speed, lost control, struck concrete medians",No,M/C,Fixed Object,No,No Charges,201909025984,-75.18188928,39.96447713,,39.96447713083767,-75.1818892784737
47962,2019,25,054903,2019-07-05 04:00:00+00,Allegheny Ave.,3rd St.,44,M,"Bicyclist S/B on 3rd St. at high speed entered roadway against red light, was struck by Unit #1 W/B on Allegheny Ave.",No,Auto,Bicycle,No,No Charges,201925054903,-75.13565400,39.99938492,,39.999384918310724,-75.13565400284857
47963,2019,25,056062,2019-07-08 04:00:00+00,Broad st.,Erie Ave.,54,M,"Victim is Septa employee working, fell onto tracks and struck by train",No,Train,Pedestrian,No,No Charges,201925056062,-75.15053545,40.00995982,,40.00995982164197,-75.15053544885716
47964,2019,39,058498,2019-07-11 04:00:00+00,Fox St.,Midvale Ave.,33,M,Unit #2 made left into path of m/c ejecting operator. Unit #2 fled scene post crash.,Yes,M/C,Auto,,Pending,201939058498,-75.18436070,40.01969367,,40.01969366867097,-75.18436070091757
47965,2019,15,071212,2019-07-15 04:00:00+00,Paul St.,4400 Block,66,M,Unit #1 inexplicably struck numerous vehicles. Delayed fatality.,No,Auto,Parked,No,Medical.,201915071212,-75.08616403,40.01196811,,40.01196811427254,-75.08616402818828
47966,2019,25,059050,2019-07-19 04:00:00+00,Hunting Park Ave.,Whitaker Ave,41,F,Victim in unit #1 struck vehicle in front of her at high speed.,No,Auto,Auto,No,No charges,201925059050,-75.11938544,40.01301372,,40.01301371635205,-75.11938543834754
47967,2019,19,064930,2019-07-25 04:00:00+00,63rd St.,Arch St.,50,M,Unit #2 attempted left turn into path of oncoming M/C.,No,M/C,Auto,No,Traffic Violation Issued to Unit #2,201919064930,-75.24696290,39.96431492,,39.964314916417834,-75.2469629016438
47968,2019,02,041870,2019-07-26 04:00:00+00,Roosevelt Blvd.Near Large St,Large St.,35,M,"M/C high speed, struck rear of vehicle in front of him, then struck pole",Yes,M/C,Auto,No,Pending,201902041870,-75.08092039,40.03236799,,40.03236799214647,-75.08092038518956
47969,2019,03,055886,2019-08-08 04:00:00+00,Christopher Columbus Blvd,"700 Block ""S""",22,M,Unit #2 operating an illegal dirt-bike was operating on Columbus Blvd. was struck from behind by a DUI.  Dirt-bike operator pronounced dead..,Yes,Auto,Dirtbike,Yes,"Operator of veh #1 arrested. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary Manslaughter, PIC, REAP",201903055886,-75.14369631,39.93311570,,39.93311569625559,-75.14369630942153
47970,2019,08,028564,2019-08-16 04:00:00+00,Knights Rd.,Fairdale Rd.,86,M,Pedestrian attempting to cross Knights Rd. when struck in the turning Lane. Pedestrian died at hospital days later..,No,Auto,Pedestrian,No,Pending,201908028564,-74.97367446,40.08471123,,40.08471123271226,-74.97367446050926
47971,2019,24,081262,2019-08-19 04:00:00+00,Aramingo Ave,Venango St.,32,M,M/C travelling very high speed struck unit #2  attempting left turn. Operator of M/C pronounced dead.,No,M/C,Auto,No,Administrative TVR's to unit #2,201924081262,-75.09700901,39.99340901,,39.99340900776679,-75.09700901227119
47972,2019,01,040017,2019-08-20 04:00:00+00,Vare Ave.,3000 Block,29,M,"M/C exiting I-76 west, hit pot hole at bottom of ramp at high speed, lost control, struck parked car. Operator of M/C pronounced dead.",No,M/C,Fixed Object,No,No Charges,201901040017,-75.19588049,39.92818822,,39.928188217414956,-75.19588048867448
47973,2019,39,075510,2019-08-31 04:00:00+00,Lehigh Ave.,18th St.,73,M,Pedestrian Crossing Lehigh Ave. n. to s. was struck by veh. W/B. Ped Trans to Temple. Pronounced 9/11/19.,No,Auto,Pedestrian,No,Pending,201939075510,-75.16100344,39.99477052,,39.99477052084494,-75.1610034453633
47974,2019,18,078745,2019-08-31 04:00:00+00,Cobbs Creek Pkwy.,Webster St.,29,M,M/C S/B struck rear of auto in front of him that was slowing to turn. Operator of M/C pronounced dead.,No,M/C,Auto,No,Pending,201918078745,-75.24921510,39.95093008,,39.95093007622788,-75.24921510193549
47975,2019,12,075556,2019-09-01 04:00:00+00,Passyunk Ave.,61st St.,18,M,Pedestrian was struck while attempting to cross Passyunk Ave. Pronounced dead at hospital.,No,Auto,Pedestrian,No,Pending,201912075556,-75.21517185,39.92091219,,39.92091219025029,-75.21517185459656
47976,2019,24,086232,2019-09-02 04:00:00+00,"""B"" St.",3100 Block,36,M,"Pedestrian unconcious in roadway, was struck by auto that went around another car that stopped for him. Pronounced dead at scene.",No,Auto,Pedestrian,No,Pending,201924086232,-75.12575101,39.99649144,,39.996491440255134,-75.12575100691984
47977,2019,39,076528,2019-09-03 04:00:00+00,Wissahickon Ave.,Abbotsford St.,28,M,Veh #2 made left into path of M/C. M/C operator pronounced dead at hospital.,No,M/C,Auto,No,Pending,201939076528,-75.17296308,40.01812589,,40.01812588455087,-75.17296307701847
47978,2019,15,089905,2019-09-04 04:00:00+00,Levick St.,Edmund st.,43,M,Bicyclist entered running lane mid-block when struck by oncoming vehicle. Speed of vehicle being investigated.,No,Auto,Bicycle,No,Pending,201915089905,-75.05086009,40.02045050,,40.020450500979706,-75.05086008829761
47979,2019,08,030950,2019-09-07 04:00:00+00,Holme Ave.,2900 Block,39,M,"Single veh. Crash W/B on Holme Ave. at high speed, lost control, struck tree, Pronounced at scene.",No,Auto,Fixed Object,No,No Charges,201908030950,-75.03191721,40.05663642,,40.05663641802379,-75.0319172070958
47980,2019,16,045395,2019-09-14 04:00:00+00,Montgomery Dr.,4500 Block,29,M,"M/C Travelling too fast to negotiate curve, crossed into oncoming traffic and struck unit #2. Taken to Presby by medics where pronounced next day.",No,M/C,Auto,No,No Charges,201916045395,-75.21319018,39.98561398,,39.985613976938666,-75.2131901789149
47981,2019,07,025170,2019-09-27 04:00:00+00,Bustleton Ave.,Welsh Rd.,40,M,Veh #2 made left into path of oncoming car that was trravelling at high speed. Operator of veh #1 pronounced dead at scene.,No,Auto,Auto,No,Pending,201907025170,-75.03840287,40.08448206,,40.08448206208202,-75.03840287416908
47982,2019,25,078788,2019-09-29 04:00:00+00,Broad St.,Tioga St.,37,M,"Unit #1, M/C, N/B on Broad St. Unit#2 S/B on Broad St. attempted left turn to proceed E/B on Tioga St. and into path of M/C. M/C operator died from injuries at Hospital on 10/16/2019.",No,M/C,Auto,No,Pending,201925078788,-75.15178933,40.00639511,,40.00639511234844,-75.15178933341292
47983,2019,15,101577,2019-10-01 04:00:00+00,State Rd.,7900 Block,63,M,Pedestrian was crossing State Rd. mid-block when he was struck while in the running lane by oncoming auto.  Ped pronounced dead at scene.,No,Auto,Pedestrian,No,Pending,201915101577,-75.02404372,40.03010009,,40.030100092381446,-75.0240437160656
47984,2019,25,079694,2019-10-02 04:00:00+00,N. 2nd St.,Inside lot 3630 N,64,M,Deceased was walking behind vehicle when his son started reversing going over victim.,No,Auto,Pedestrian,No,No Charges,201925079694,-75.13193985,40.00548405,,40.005484046231956,-75.13193985019622
47985,2019,18,091240,2019-10-04 04:00:00+00,Chestnut St.,55th St.,33,M,"M/C in left lane, school bus tried left turn from center lane into path of M/C. M/C operator pronounced dead at scene",No,M/C,School Bus,No,Pending,201918091240,-75.23115172,39.95920987,,39.95920986622493,-75.23115172209069
47986,2019,06,052891,2019-10-13 04:00:00+00,9th St.,Samson St.,21,M,"Single vehicle crash, high speed N/B on 9th St., lost control, struck fire hydrant, then pole. Operator pronounced dead at Hospital short time later.",No,Auto,Fixed Object,No,No Charges,201906052891,-75.15571665,39.94905395,,39.949053950647105,-75.1557166455299
47987,2019,35,094298,2019-10-15 04:00:00+00,Broad St.,5000 Block,79,M,Pedestrian attempted to cross Broad St not at intersection when struck by UNIT #1 HEADING n/b ON Broad St. Pedestrian taken to Einstein Hosp. where pronounced dead.,No,Auto,Pedestrian,No,Pending,201935094298,-75.14689504,40.02949708,,40.029497080382306,-75.14689503870476
47988,2019,15,113441,2019-11-02 04:00:00+00,State Rd.,6900 Block,58,M,Victim found on Railroad tracks struck by train.,No,Train,Pedestrian,No,No Charges,201915113441,-75.03988666,40.02200598,,40.02200598424084,-75.03988665798487
47989,2019,39,090485,2019-10-18 04:00:00+00,Hunting Park Ave.,1600 Block,34,F,Unit #1 e/b ON Hunting Park Ave. in the right running lane as 2 pedestrians entered the running lane when struck.. Crash occurred mid-block and not at an intersection. Pedestrian was pronounced deat at Temple Hosp.,No,Auto,Pedestrian,No,No Charges,201939090485,-75.15153518,40.01698475,,40.01698474692228,-75.15153517871336
47990,2019,26,046549,2019-10-26 04:00:00+00,Berks St.,700 Block,26,M,Unit #1 E/B on Berks at high speed struck pedestrian that was crossing Berks St. at Franklin St. then fled scene without stopping. Pedestrian pronounced dead at scene.,Yes,Auto,Pedestrian,Yes,"Operator was arrested, Charges Murder, Homicide by Vehicle, Involuntary Manslaughter, PIC, REAP, Cruelty to animals",201926046549,-75.14636963,39.98030425,,39.980304249061014,-75.14636962998183
47991,2019,18,102317,2019-11-05 05:00:00+00,Chestnut St.,5900 Block,19,F,"UNIT #2 WAS BUMPED BY UNIT #1, THEN REDIRECTED STRIKING PARKED SCHOOL BUS. Operator of unit #2 pronounced at presby two days later.",No,Auto,Auto,No,No Charges,201918102317,-75.23961452,39.96030145,,39.960301446626744,-75.23961451665755
47992,2019,02,065143,2019-11-24 05:00:00+00,Castor Ave.,Comly St,21,F,Deceased was a passengerin Unit #2 travelling S/B on Castor Ave when struck by Unit #1 travelling N/B attempting left to go W/B and into path of Unit #2,No,Auto,Auto,No,Pending,201902065143,-75.08336719,40.03341075,,40.03341075059023,-75.08336719260406
47993,2019,25,095620,2019-11-25 05:00:00+00,Erie Ave,400 E.,82,M,"As the pedestrian was crossing in the crosswalk, he was struck by unit #1. On 12/03/19 the pedestrian was pronounced dead at Temple Hospital.",No,Auto,Pedestrian,,Pending,201925095620,-75.13547229,40.00721256,,40.00721255657599,-75.1354722946798
47994,2019,19,107750,2019-11-30 05:00:00+00,City Ave,4100 Block,19,M,"Unit #1, travelling on City Ave., lost control, left roadway, and struck fixed object.",No,Auto,Fixed Object,No,No Charges,201919107750,-75.21795783,40.00511122,,40.00511122035325,-75.21795782510304
47995,2019,15,127671,2019-12-08 05:00:00+00,Bridge St.,2600 Block,17,F,"Pedestrian, (unit #2), was walking in the street when struck by passing auto (unit #1). Pedestrian pronounced dead at arrrival at Jefferson-Torresdale Hosp.",No,Auto,Pedestrian,No,Pending,201915127671,-75.06754456,40.00491764,,40.0049176422443,-75.06754455495266
47996,2019,02,067586,2019-12-08 05:00:00+00,Adams Ave.,500 Block,59,F,"As per witness, unit#2, ped, was crossing Adams Ave back and forth then stepped off curb and into path of oncoming unit #1. when struck. Taken to Einstein Hospital where pronounced.",No,Auto,Pedestrian,No,No Charges,201902067586,-75.10877206,40.03677088,,40.03677087502425,-75.10877205797529
47997,2019,07,032182,2019-12-12 05:00:00+00,Bustleton Ave.,Hendrix St.,83,F,"Pedestrian, (Unit #2), was attempting to cross Bustleton Ave at crosswalk when struck by vehicle, (Unit #1), that was turning out of a parking lot.  The vehicle or operator were not on location upon arrival of AID.  The pedestrian was pronounced dead at",Yes,Auto,Pedestrian,Yes,"Operator of veh #1 arrested. Charges: Homicide by vehicle,  Involuntary Manslaughter, PIC, REAP",201907032182,-75.01774331,40.11929352,,40.1192935238717,-75.01774330682028
47998,2019,15,130278,2019-12-15 05:00:00+00,Cottman Ave.,Torresdale Ave,29,F,"Unit #2 at high speed N/B on Torresdale Ave, diisregarded red light and was struck by unit #1. Passenger of unit #1 pronounced at scene, Pass of unit #2 pronounced at Hospital next day",No,Auto,Auto,Yes,"Operator of veh #2 arrested. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary Manslaughter, PIC, REAP",201915130278,-75.03517224,40.03012554,,40.03012553937142,-75.03517224404105
47999,2019,15,130278,2019-12-15 05:00:00+00,Cottman Ave.,Torresdale Ave,18,M,"Unit #2 at high speed N/B on Torresdale Ave, diisregarded red light and was struck by unit #1. Passenger of unit #1 pronounced at scene, Pass of unit #2 pronounced at Hospital next day",No,Auto,Auto,Yes,"Operator of veh #2 arrested. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary Manslaughter, PIC, REAP",201915130278,-75.03517224,40.03012554,,40.03012553937142,-75.03517224404105
48000,2019,06,065883,2019-12-18 05:00:00+00,Market St.,800 Block,44,M,"Pedestrian exited train with unsteady gait, fell onto tracks, not seen by oprerator. Was struck when train started. Pronounced dead at scene.",No,Train,Pedestrian,No,No Charges,201906065883,-75.15437064,39.95116503,,39.951165030953426,-75.15437064334134
